angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.17,,[226  91 133 133],,0.0,,0.1,,0.12,,0.12,,0.45,,0.03,
0.14,,[226  90 132 132],,0.0,,0.2,,0.02,,0.08,,0.36,,0.21,
0.21,,[226  87 133 133],,0.0,,0.18,,0.0,,0.11,,0.42,,0.07,
0.22,,[228  90 129 129],,0.0,,0.18,,0.0,,0.07,,0.43,,0.11,
0.15,,[228  91 128 128],,0.0,,0.29,,0.01,,0.15,,0.31,,0.1,
0.24,,[231  89 129 129],,0.0,,0.09,,0.08,,0.03,,0.55,,0.01,
0.05,,[234  79 135 135],,0.0,,0.02,,0.87,,0.01,,0.05,,0.01,
0.11,,[242  80 131 131],,0.0,,0.03,,0.78,,0.0,,0.02,,0.06,
0.04,,[245  81 130 130],,0.0,,0.01,,0.93,,0.01,,0.01,,0.01,
0.14,,[239  77 134 134],,0.0,,0.07,,0.68,,0.0,,0.02,,0.09,
0.15,,[239  77 132 132],,0.0,,0.37,,0.05,,0.01,,0.41,,0.01,
0.14,,[235  75 133 133],,0.0,,0.08,,0.6,,0.0,,0.09,,0.09,
0.08,,[235  78 133 133],,0.0,,0.03,,0.77,,0.0,,0.06,,0.06,
0.11,,[233  77 136 136],,0.0,,0.03,,0.76,,0.01,,0.03,,0.07,
0.1,,[235  79 134 134],,0.0,,0.04,,0.72,,0.02,,0.11,,0.02,
0.03,,[234  80 129 129],,0.0,,0.03,,0.86,,0.04,,0.02,,0.03,
0.02,,[235  80 132 132],,0.0,,0.03,,0.85,,0.02,,0.07,,0.01,
0.22,,[234  79 134 134],,0.0,,0.06,,0.49,,0.04,,0.16,,0.03,
0.04,,[236  80 132 132],,0.0,,0.55,,0.0,,0.02,,0.1,,0.28,
0.08,,[235  80 132 132],,0.0,,0.47,,0.0,,0.05,,0.16,,0.24,
0.16,,[232  78 137 137],,0.0,,0.04,,0.02,,0.29,,0.48,,0.01,
0.11,,[229  77 135 135],,0.0,,0.2,,0.01,,0.01,,0.18,,0.48,
0.03,,[234  78 135 135],,0.0,,0.21,,0.0,,0.0,,0.01,,0.75,
0.18,,[237  78 132 132],,0.0,,0.47,,0.0,,0.09,,0.19,,0.08,
0.08,,[231  80 134 134],,0.0,,0.48,,0.0,,0.01,,0.08,,0.35,
0.09,,[231  83 132 132],,0.0,,0.29,,0.0,,0.14,,0.37,,0.11,
0.05,,[231  86 130 130],,0.0,,0.37,,0.01,,0.24,,0.32,,0.02,
0.05,,[231  86 130 130],,0.0,,0.09,,0.0,,0.22,,0.61,,0.03,
0.15,,[233  89 129 129],,0.0,,0.43,,0.0,,0.04,,0.21,,0.17,
0.07,,[233  96 127 127],,0.0,,0.15,,0.03,,0.4,,0.32,,0.03,
0.07,,[234  95 126 126],,0.0,,0.1,,0.0,,0.36,,0.45,,0.02,
0.13,,[232  94 130 130],,0.0,,0.09,,0.01,,0.38,,0.28,,0.11,
0.07,,[233  91 129 129],,0.0,,0.12,,0.0,,0.38,,0.36,,0.07,
0.09,,[234  93 127 127],,0.0,,0.29,,0.0,,0.23,,0.36,,0.03,
0.09,,[235  91 127 127],,0.0,,0.11,,0.01,,0.34,,0.41,,0.04,
0.07,,[235  91 127 127],,0.0,,0.45,,0.01,,0.07,,0.37,,0.04,
0.08,,[237  88 130 130],,0.0,,0.03,,0.53,,0.03,,0.02,,0.31,
0.09,,[240  91 125 125],,0.0,,0.17,,0.01,,0.34,,0.35,,0.04,
0.08,,[238  93 126 126],,0.0,,0.13,,0.01,,0.52,,0.15,,0.11,
0.07,,[238  93 129 129],,0.0,,0.23,,0.02,,0.38,,0.19,,0.11,
0.11,,[237  96 127 127],,0.0,,0.08,,0.36,,0.08,,0.03,,0.34,
0.05,,[238  97 125 125],,0.0,,0.01,,0.75,,0.04,,0.01,,0.14,
0.23,,[239  95 125 125],,0.0,,0.02,,0.54,,0.11,,0.04,,0.06,
0.01,,[234  82 132 132],,0.0,,0.0,,0.97,,0.0,,0.0,,0.02,
0.02,,[241  79 130 130],,0.0,,0.07,,0.66,,0.18,,0.06,,0.0,
